job_id,job_title,industry,location,salary_usd,skills_required,remote_option,company_size,posting_date
1,Quantum Researcher,Quantum Computing,Singapore,175780,"Linear Algebra, Quantum Algorithms",No,Large,2025-07-22
2,Renewable Energy Engineer,Green Tech,Singapore,137481,"Climate Data Analysis, Energy Modeling",Yes,Large,2025-09-26
3,Quantum Researcher,Quantum Computing,Tokyo,182081,"Linear Algebra, Qiskit",No,Medium,2025-12-31
4,Sustainability Analyst,Green Tech,Singapore,113822,"Climate Data Analysis, Energy Modeling",No,Large,2025-05-29
5,Smart Contract Engineer,Blockchain,London,92575,"Rust, Solidity",Yes,Small,2025-03-30
6,Smart Contract Engineer,Blockchain,Tokyo,173379,"Solidity, Rust",Yes,Medium,2025-08-10
7,Renewable Energy Engineer,Green Tech,New York,99659,"Climate Data Analysis, Energy Modeling",No,Small,2025-05-27
8,Quantum Software Developer,Quantum Computing,London,210842,"Qiskit, Quantum Algorithms",Yes,Large,2025-04-13
9,Sustainability Analyst,Green Tech,New York,189475,"Climate Data Analysis, Energy Modeling",No,Small,2025-04-12
10,Blockchain Developer,Blockchain,Tokyo,228992,"Ethereum, Solidity",No,Large,2025-06-28
11,Quantum Researcher,Quantum Computing,New York,122847,"Quantum Algorithms, Qiskit",Yes,Small,2025-02-09
12,AI Engineer,AI,Singapore,136880,"TensorFlow, PyTorch",Yes,Small,2025-03-15
13,Data Scientist,AI,Singapore,50387,"Python, TensorFlow",Yes,Medium,2025-03-02
14,Quantum Researcher,Quantum Computing,Dubai,194786,"Linear Algebra, Qiskit",No,Large,2025-05-02
15,Smart Contract Engineer,Blockchain,Berlin,54857,"Rust, Ethereum",Yes,Large,2025-12-06
16,Blockchain Developer,Blockchain,Tokyo,189314,"Solidity, Ethereum",No,Medium,2025-07-23
17,Renewable Energy Engineer,Green Tech,London,214393,"Climate Data Analysis, Energy Modeling",Yes,Small,2025-04-11
18,Data Scientist,AI,Singapore,190743,"TensorFlow, Python",Yes,Small,2025-10-07
19,Quantum Software Developer,Quantum Computing,Dubai,127617,"Qiskit, Quantum Algorithms",Yes,Large,2025-02-23
20,Data Scientist,AI,Berlin,121525,"Python, TensorFlow",Yes,Large,2025-12-15
21,Smart Contract Engineer,Blockchain,Tokyo,180309,"Solidity, Ethereum",Yes,Small,2025-11-23
22,Quantum Researcher,Quantum Computing,New York,179393,"Quantum Algorithms, Linear Algebra",No,Small,2025-06-15
23,Quantum Software Developer,Quantum Computing,Berlin,169818,"Qiskit, Linear Algebra",Yes,Large,2025-07-16
24,Sustainability Analyst,Green Tech,New York,183315,"Climate Data Analysis, Energy Modeling",No,Large,2025-01-24
25,Quantum Researcher,Quantum Computing,Tokyo,130298,"Qiskit, Quantum Algorithms",No,Large,2025-10-13
26,Blockchain Developer,Blockchain,New York,147535,"Rust, Ethereum",Yes,Large,2025-07-19
27,Quantum Software Developer,Quantum Computing,Berlin,143783,"Linear Algebra, Qiskit",No,Small,2025-02-10
28,Smart Contract Engineer,Blockchain,Dubai,228902,"Solidity, Rust",No,Small,2025-01-01
29,AI Engineer,AI,New York,107735,"PyTorch, TensorFlow",Yes,Medium,2025-12-18
30,Quantum Software Developer,Quantum Computing,Tokyo,160752,"Qiskit, Linear Algebra",No,Small,2025-04-05
31,Renewable Energy Engineer,Green Tech,London,103065,"Climate Data Analysis, Energy Modeling",No,Large,2025-05-04
32,Renewable Energy Engineer,Green Tech,London,94222,"Energy Modeling, Climate Data Analysis",No,Medium,2025-07-13
33,Smart Contract Engineer,Blockchain,Singapore,240202,"Solidity, Ethereum",No,Large,2025-11-06
34,AI Engineer,AI,Berlin,175142,"TensorFlow, PyTorch",Yes,Large,2025-01-18
35,AI Engineer,AI,London,200374,"PyTorch, Python",Yes,Small,2025-03-16
36,Blockchain Developer,Blockchain,London,148378,"Ethereum, Solidity",Yes,Medium,2025-10-06
37,Quantum Researcher,Quantum Computing,Tokyo,195771,"Qiskit, Linear Algebra",Yes,Large,2025-02-25
38,Renewable Energy Engineer,Green Tech,Singapore,201161,"Energy Modeling, Climate Data Analysis",No,Large,2025-10-13
39,ML Researcher,AI,Berlin,76133,"TensorFlow, Python",Yes,Small,2025-12-27
40,Blockchain Developer,Blockchain,London,187672,"Rust, Solidity",Yes,Large,2025-10-12
41,Quantum Software Developer,Quantum Computing,Tokyo,227029,"Linear Algebra, Quantum Algorithms",No,Medium,2025-12-31
42,Smart Contract Engineer,Blockchain,Dubai,96432,"Ethereum, Rust",No,Small,2025-05-14
43,Quantum Software Developer,Quantum Computing,London,145451,"Linear Algebra, Quantum Algorithms",Yes,Medium,2025-07-09
44,ML Researcher,AI,London,56990,"Python, TensorFlow",No,Small,2025-03-06
45,Blockchain Developer,Blockchain,Dubai,155708,"Ethereum, Solidity",No,Small,2025-01-30
46,Quantum Software Developer,Quantum Computing,London,222633,"Qiskit, Quantum Algorithms",No,Large,2025-08-08
47,Renewable Energy Engineer,Green Tech,Singapore,188452,"Energy Modeling, Climate Data Analysis",Yes,Small,2025-01-19
48,Renewable Energy Engineer,Green Tech,New York,168462,"Energy Modeling, Climate Data Analysis",Yes,Large,2025-12-25
49,Quantum Software Developer,Quantum Computing,New York,54770,"Quantum Algorithms, Linear Algebra",No,Small,2025-05-26
50,Quantum Researcher,Quantum Computing,Dubai,224859,"Linear Algebra, Quantum Algorithms",Yes,Medium,2025-06-26
51,Renewable Energy Engineer,Green Tech,New York,87478,"Climate Data Analysis, Energy Modeling",Yes,Large,2025-02-18
52,AI Engineer,AI,New York,98138,"Python, TensorFlow",Yes,Small,2025-08-25
53,Sustainability Analyst,Green Tech,Singapore,213723,"Climate Data Analysis, Energy Modeling",Yes,Medium,2025-11-06
54,Smart Contract Engineer,Blockchain,Berlin,178953,"Rust, Solidity",No,Large,2025-01-26
55,Smart Contract Engineer,Blockchain,Berlin,53902,"Ethereum, Solidity",No,Large,2025-05-08
56,ML Researcher,AI,Berlin,144942,"TensorFlow, PyTorch",Yes,Medium,2025-12-06
57,Quantum Researcher,Quantum Computing,New York,177875,"Quantum Algorithms, Linear Algebra",No,Small,2025-01-24
58,Quantum Software Developer,Quantum Computing,New York,60387,"Quantum Algorithms, Qiskit",Yes,Small,2025-11-16
59,Sustainability Analyst,Green Tech,Singapore,148827,"Energy Modeling, Climate Data Analysis",Yes,Small,2025-03-13
60,Smart Contract Engineer,Blockchain,New York,237964,"Ethereum, Rust",No,Medium,2025-04-18
61,Blockchain Developer,Blockchain,Tokyo,123218,"Rust, Solidity",Yes,Small,2025-08-21
62,Renewable Energy Engineer,Green Tech,Singapore,228583,"Climate Data Analysis, Energy Modeling",No,Large,2025-09-03
63,Smart Contract Engineer,Blockchain,Tokyo,92895,"Rust, Ethereum",No,Small,2025-12-21
64,Blockchain Developer,Blockchain,Dubai,79151,"Rust, Solidity",Yes,Large,2025-05-27
65,Quantum Researcher,Quantum Computing,London,80631,"Quantum Algorithms, Qiskit",Yes,Medium,2025-03-15
66,AI Engineer,AI,Dubai,131254,"PyTorch, Python",No,Small,2025-05-17
67,Sustainability Analyst,Green Tech,Tokyo,233720,"Energy Modeling, Climate Data Analysis",Yes,Medium,2025-10-19
68,Blockchain Developer,Blockchain,New York,220074,"Ethereum, Solidity",Yes,Large,2025-09-08
69,Smart Contract Engineer,Blockchain,Dubai,87609,"Ethereum, Rust",No,Large,2025-12-01
70,Renewable Energy Engineer,Green Tech,London,77980,"Climate Data Analysis, Energy Modeling",No,Medium,2025-07-15
71,Blockchain Developer,Blockchain,Berlin,153287,"Ethereum, Solidity",Yes,Medium,2025-10-18
